ID=STRG.10002.3.exon3;Parent=STRG.10002.3
ID=STRG.11012.1.exon1;Parent=STRG.11012.1
ID=STRG.11038.1.exon1;Parent=STRG.11038.1
ID=STRG.11038.1.exon3;Parent=STRG.11038.1
ID=STRG.1108.3.exon3;Parent=STRG.1108.3
ID=STRG.112.1.exon10;Parent=STRG.112.1
ID=STRG.11221.1.exon6;Parent=STRG.11221.1
ID=STRG.11228.2.exon10;Parent=STRG.11228.2
ID=STRG.11264.1.exon1;Parent=STRG.11264.1
ID=STRG.11264.1.exon2;Parent=STRG.11264.1
ID=STRG.11322.1.exon1;Parent=STRG.11322.1
ID=STRG.11381.1.exon1;Parent=STRG.11381.1
ID=STRG.11452.1.exon2;Parent=STRG.11452.1
ID=STRG.1146.1.exon9;Parent=STRG.1146.1
ID=STRG.11480.2.exon11;Parent=STRG.11480.2
ID=STRG.11481.1.exon7;Parent=STRG.11481.1
ID=STRG.11502.1.exon7;Parent=STRG.11502.1
ID=STRG.11545.1.exon14;Parent=STRG.11545.1
ID=STRG.1158.2.exon7;Parent=STRG.1158.2
ID=STRG.11583.2.exon9;Parent=STRG.11583.2
ID=STRG.11590.1.exon5;Parent=STRG.11590.1
ID=STRG.11590.1.exon6;Parent=STRG.11590.1
ID=STRG.11595.1.exon4;Parent=STRG.11595.1
ID=STRG.11643.1.exon6;Parent=STRG.11643.1
ID=STRG.11645.2.exon4;Parent=STRG.11645.2
ID=STRG.11688.1.exon4;Parent=STRG.11688.1
ID=STRG.11691.1.exon1;Parent=STRG.11691.1
ID=STRG.11756.3.exon5;Parent=STRG.11756.3
ID=STRG.11779.1.exon1;Parent=STRG.11779.1
ID=STRG.11781.1.exon1;Parent=STRG.11781.1
ID=STRG.11781.1.exon2;Parent=STRG.11781.1
ID=STRG.11781.1.exon3;Parent=STRG.11781.1
ID=STRG.11781.1.exon4;Parent=STRG.11781.1
ID=STRG.11781.1.exon5;Parent=STRG.11781.1
ID=STRG.11781.1.exon6;Parent=STRG.11781.1
ID=STRG.11781.1.exon7;Parent=STRG.11781.1
ID=STRG.11789.1.exon2;Parent=STRG.11789.1
ID=STRG.1180.1.exon1;Parent=STRG.1180.1
ID=STRG.11834.1.exon1;Parent=STRG.11834.1
ID=STRG.11896.1.exon9;Parent=STRG.11896.1
ID=STRG.11896.1.exon10;Parent=STRG.11896.1
ID=STRG.11896.1.exon11;Parent=STRG.11896.1
ID=STRG.11896.1.exon12;Parent=STRG.11896.1
ID=STRG.11896.1.exon13;Parent=STRG.11896.1
ID=STRG.11896.1.exon14;Parent=STRG.11896.1
ID=STRG.11896.1.exon15;Parent=STRG.11896.1
ID=STRG.11896.1.exon16;Parent=STRG.11896.1
ID=STRG.11896.1.exon17;Parent=STRG.11896.1
ID=STRG.11896.1.exon18;Parent=STRG.11896.1
ID=STRG.11896.1.exon19;Parent=STRG.11896.1
ID=STRG.11896.1.exon20;Parent=STRG.11896.1
ID=STRG.11896.1.exon21;Parent=STRG.11896.1
ID=STRG.11896.1.exon22;Parent=STRG.11896.1
ID=STRG.11896.1.exon23;Parent=STRG.11896.1
ID=STRG.11896.1.exon24;Parent=STRG.11896.1
ID=STRG.1191.2.exon7;Parent=STRG.1191.2
ID=STRG.11942.1.exon1;Parent=STRG.11942.1
ID=STRG.1197.1.exon6;Parent=STRG.1197.1
ID=STRG.12021.1.exon3;Parent=STRG.12021.1
ID=STRG.12027.2.exon1;Parent=STRG.12027.2
ID=STRG.12027.2.exon6;Parent=STRG.12027.2
ID=STRG.1204.1.exon5;Parent=STRG.1204.1
ID=STRG.12051.1.exon1;Parent=STRG.12051.1
ID=STRG.12060.2.exon5;Parent=STRG.12060.2
ID=STRG.12071.1.exon1;Parent=STRG.12071.1
ID=STRG.12077.1.exon4;Parent=STRG.12077.1
ID=STRG.12081.3.exon4;Parent=STRG.12081.3
ID=STRG.121.1.exon7;Parent=STRG.121.1
ID=STRG.12127.1.exon6;Parent=STRG.12127.1
ID=STRG.12128.1.exon7;Parent=STRG.12128.1
ID=STRG.12131.1.exon4;Parent=STRG.12131.1
ID=STRG.12146.1.exon4;Parent=STRG.12146.1
ID=STRG.12159.1.exon5;Parent=STRG.12159.1
ID=STRG.12159.1.exon7;Parent=STRG.12159.1
ID=STRG.12171.1.exon3;Parent=STRG.12171.1
ID=STRG.12173.1.exon3;Parent=STRG.12173.1
ID=STRG.12204.2.exon4;Parent=STRG.12204.2
ID=STRG.12206.1.exon3;Parent=STRG.12206.1
ID=STRG.12206.1.exon12;Parent=STRG.12206.1
ID=STRG.12243.1.exon5;Parent=STRG.12243.1
ID=STRG.12257.2.exon1;Parent=STRG.12257.2
ID=STRG.12273.1.exon1;Parent=STRG.12273.1
ID=STRG.12273.1.exon2;Parent=STRG.12273.1
ID=STRG.12273.1.exon3;Parent=STRG.12273.1
ID=STRG.12273.1.exon4;Parent=STRG.12273.1
ID=STRG.12273.1.exon5;Parent=STRG.12273.1
ID=STRG.12273.1.exon6;Parent=STRG.12273.1
ID=STRG.12273.1.exon7;Parent=STRG.12273.1
ID=STRG.12279.1.exon1;Parent=STRG.12279.1
ID=STRG.12282.1.exon1;Parent=STRG.12282.1
ID=STRG.12282.1.exon2;Parent=STRG.12282.1
ID=STRG.12282.1.exon3;Parent=STRG.12282.1
ID=STRG.12283.1.exon1;Parent=STRG.12283.1
ID=STRG.12283.1.exon2;Parent=STRG.12283.1
ID=STRG.12283.1.exon3;Parent=STRG.12283.1
ID=STRG.12283.1.exon4;Parent=STRG.12283.1
ID=STRG.12283.1.exon5;Parent=STRG.12283.1
ID=STRG.12283.1.exon6;Parent=STRG.12283.1
ID=STRG.12283.1.exon7;Parent=STRG.12283.1
ID=STRG.12283.1.exon8;Parent=STRG.12283.1
ID=STRG.12283.1.exon9;Parent=STRG.12283.1
ID=STRG.12292.1.exon5;Parent=STRG.12292.1
ID=STRG.123.1.exon9;Parent=STRG.123.1
ID=STRG.12312.1.exon10;Parent=STRG.12312.1
ID=STRG.12313.1.exon2;Parent=STRG.12313.1
ID=STRG.12331.1.exon4;Parent=STRG.12331.1
ID=STRG.12338.1.exon12;Parent=STRG.12338.1
ID=STRG.12339.2.exon2;Parent=STRG.12339.2
ID=STRG.12355.1.exon3;Parent=STRG.12355.1
ID=STRG.12367.1.exon1;Parent=STRG.12367.1
ID=STRG.12369.1.exon4;Parent=STRG.12369.1
ID=STRG.12390.2.exon6;Parent=STRG.12390.2
ID=STRG.12392.1.exon6;Parent=STRG.12392.1
ID=STRG.12401.1.exon3;Parent=STRG.12401.1
ID=STRG.12402.1.exon2;Parent=STRG.12402.1
ID=STRG.12405.1.exon1;Parent=STRG.12405.1
ID=STRG.12405.1.exon5;Parent=STRG.12405.1
ID=STRG.12412.1.exon8;Parent=STRG.12412.1
ID=STRG.12413.1.exon4;Parent=STRG.12413.1
ID=STRG.12424.2.exon5;Parent=STRG.12424.2
ID=STRG.12428.1.exon3;Parent=STRG.12428.1
ID=STRG.12430.1.exon4;Parent=STRG.12430.1
ID=STRG.12443.1.exon3;Parent=STRG.12443.1
ID=STRG.12444.1.exon3;Parent=STRG.12444.1
ID=STRG.12444.1.exon4;Parent=STRG.12444.1
ID=STRG.12444.1.exon9;Parent=STRG.12444.1
ID=STRG.12445.1.exon1;Parent=STRG.12445.1
ID=STRG.12450.1.exon6;Parent=STRG.12450.1
ID=STRG.12451.1.exon6;Parent=STRG.12451.1
ID=STRG.12452.1.exon5;Parent=STRG.12452.1
ID=STRG.12452.1.exon6;Parent=STRG.12452.1
ID=STRG.12452.1.exon8;Parent=STRG.12452.1
ID=STRG.12455.1.exon1;Parent=STRG.12455.1
ID=STRG.12464.1.exon6;Parent=STRG.12464.1
ID=STRG.12464.1.exon7;Parent=STRG.12464.1
ID=STRG.12464.1.exon8;Parent=STRG.12464.1
ID=STRG.12469.1.exon3;Parent=STRG.12469.1
ID=STRG.12470.2.exon1;Parent=STRG.12470.2
ID=STRG.12471.3.exon1;Parent=STRG.12471.3
ID=STRG.12485.2.exon1;Parent=STRG.12485.2
ID=STRG.12486.1.exon1;Parent=STRG.12486.1
ID=STRG.12488.1.exon3;Parent=STRG.12488.1
ID=STRG.1250.2.exon1;Parent=STRG.1250.2
ID=STRG.12510.1.exon2;Parent=STRG.12510.1
ID=STRG.12511.1.exon3;Parent=STRG.12511.1
ID=STRG.12523.1.exon8;Parent=STRG.12523.1
ID=STRG.12523.1.exon17;Parent=STRG.12523.1
ID=STRG.12530.1.exon7;Parent=STRG.12530.1
ID=STRG.12531.1.exon5;Parent=STRG.12531.1
ID=STRG.12533.1.exon2;Parent=STRG.12533.1
ID=STRG.12534.1.exon3;Parent=STRG.12534.1
ID=STRG.12536.1.exon6;Parent=STRG.12536.1
ID=STRG.12537.1.exon5;Parent=STRG.12537.1
ID=STRG.12538.1.exon6;Parent=STRG.12538.1
ID=STRG.12541.1.exon4;Parent=STRG.12541.1
ID=STRG.12542.1.exon1;Parent=STRG.12542.1
ID=STRG.12543.1.exon4;Parent=STRG.12543.1
ID=STRG.12555.1.exon7;Parent=STRG.12555.1
ID=STRG.12557.2.exon3;Parent=STRG.12557.2
ID=STRG.12557.2.exon4;Parent=STRG.12557.2
ID=STRG.12557.2.exon5;Parent=STRG.12557.2
ID=STRG.12557.2.exon6;Parent=STRG.12557.2
ID=STRG.12557.2.exon7;Parent=STRG.12557.2
ID=STRG.12557.2.exon8;Parent=STRG.12557.2
ID=STRG.12560.1.exon8;Parent=STRG.12560.1
ID=STRG.12562.1.exon1;Parent=STRG.12562.1
ID=STRG.12562.1.exon3;Parent=STRG.12562.1
ID=STRG.12584.1.exon7;Parent=STRG.12584.1
ID=STRG.12589.7.exon6;Parent=STRG.12589.7
ID=STRG.12599.1.exon8;Parent=STRG.12599.1
ID=STRG.12604.1.exon1;Parent=STRG.12604.1
ID=STRG.12622.1.exon1;Parent=STRG.12622.1
ID=STRG.12622.1.exon2;Parent=STRG.12622.1
ID=STRG.12622.1.exon3;Parent=STRG.12622.1
ID=STRG.12622.1.exon4;Parent=STRG.12622.1
ID=STRG.12622.1.exon5;Parent=STRG.12622.1
ID=STRG.12629.1.exon7;Parent=STRG.12629.1
ID=STRG.12648.1.exon1;Parent=STRG.12648.1
ID=STRG.12648.1.exon15;Parent=STRG.12648.1
ID=STRG.12657.1.exon1;Parent=STRG.12657.1
ID=STRG.12665.1.exon11;Parent=STRG.12665.1
ID=STRG.12668.1.exon16;Parent=STRG.12668.1
ID=STRG.12684.1.exon6;Parent=STRG.12684.1
ID=STRG.12688.1.exon2;Parent=STRG.12688.1
ID=STRG.12695.2.exon3;Parent=STRG.12695.2
ID=STRG.12707.6.exon10;Parent=STRG.12707.6
ID=STRG.12713.4.exon15;Parent=STRG.12713.4
ID=STRG.12726.1.exon5;Parent=STRG.12726.1
ID=STRG.12754.1.exon14;Parent=STRG.12754.1
ID=STRG.12764.1.exon1;Parent=STRG.12764.1
ID=STRG.12765.1.exon3;Parent=STRG.12765.1
ID=STRG.12837.1.exon3;Parent=STRG.12837.1
ID=STRG.12878.1.exon5;Parent=STRG.12878.1
ID=STRG.12880.1.exon6;Parent=STRG.12880.1
ID=STRG.12904.2.exon1;Parent=STRG.12904.2
ID=STRG.12905.2.exon4;Parent=STRG.12905.2
ID=STRG.12915.1.exon8;Parent=STRG.12915.1
ID=STRG.12925.1.exon6;Parent=STRG.12925.1
ID=STRG.12937.1.exon1;Parent=STRG.12937.1
ID=STRG.12948.2.exon5;Parent=STRG.12948.2
ID=STRG.12968.3.exon3;Parent=STRG.12968.3
ID=STRG.12998.1.exon6;Parent=STRG.12998.1
ID=STRG.13.1.exon1;Parent=STRG.13.1
ID=STRG.13.1.exon3;Parent=STRG.13.1
ID=STRG.13029.1.exon31;Parent=STRG.13029.1
ID=STRG.1303.1.exon1;Parent=STRG.1303.1
ID=STRG.13048.3.exon7;Parent=STRG.13048.3
ID=STRG.13062.3.exon10;Parent=STRG.13062.3
ID=STRG.13070.1.exon5;Parent=STRG.13070.1
ID=STRG.13085.2.exon10;Parent=STRG.13085.2
ID=STRG.13092.1.exon21;Parent=STRG.13092.1
ID=STRG.13095.1.exon2;Parent=STRG.13095.1
ID=STRG.13095.1.exon5;Parent=STRG.13095.1
ID=STRG.13164.1.exon8;Parent=STRG.13164.1
ID=STRG.13284.1.exon7;Parent=STRG.13284.1
ID=STRG.13284.1.exon21;Parent=STRG.13284.1
ID=STRG.13292.2.exon1;Parent=STRG.13292.2
ID=STRG.133.1.exon5;Parent=STRG.133.1
ID=STRG.13301.1.exon29;Parent=STRG.13301.1
ID=STRG.134.1.exon5;Parent=STRG.134.1
ID=STRG.13402.1.exon5;Parent=STRG.13402.1
ID=STRG.13423.1.exon9;Parent=STRG.13423.1
ID=STRG.1348.1.exon1;Parent=STRG.1348.1
ID=STRG.135.1.exon4;Parent=STRG.135.1
ID=STRG.13585.1.exon1;Parent=STRG.13585.1
ID=STRG.136.1.exon3;Parent=STRG.136.1
ID=STRG.13609.1.exon12;Parent=STRG.13609.1
ID=STRG.13627.1.exon15;Parent=STRG.13627.1
ID=STRG.13628.1.exon11;Parent=STRG.13628.1
ID=STRG.13669.2.exon1;Parent=STRG.13669.2
ID=STRG.13669.2.exon13;Parent=STRG.13669.2
ID=STRG.1367.1.exon1;Parent=STRG.1367.1
ID=STRG.137.1.exon9;Parent=STRG.137.1
ID=STRG.13744.2.exon10;Parent=STRG.13744.2
ID=STRG.13773.1.exon2;Parent=STRG.13773.1
ID=STRG.139.1.exon2;Parent=STRG.139.1
ID=STRG.13936.1.exon10;Parent=STRG.13936.1
ID=STRG.13944.1.exon18;Parent=STRG.13944.1
ID=STRG.13982.1.exon6;Parent=STRG.13982.1
ID=STRG.14029.1.exon11;Parent=STRG.14029.1
ID=STRG.14036.1.exon1;Parent=STRG.14036.1
ID=STRG.1406.1.exon4;Parent=STRG.1406.1
ID=STRG.14075.1.exon1;Parent=STRG.14075.1
ID=STRG.14108.1.exon1;Parent=STRG.14108.1
ID=STRG.14124.1.exon6;Parent=STRG.14124.1
ID=STRG.14126.1.exon4;Parent=STRG.14126.1
ID=STRG.14127.2.exon28;Parent=STRG.14127.2
ID=STRG.14209.1.exon8;Parent=STRG.14209.1
ID=STRG.1421.1.exon1;Parent=STRG.1421.1
ID=STRG.14339.1.exon9;Parent=STRG.14339.1
ID=STRG.14374.1.exon2;Parent=STRG.14374.1
ID=STRG.1448.2.exon9;Parent=STRG.1448.2
ID=STRG.1449.1.exon8;Parent=STRG.1449.1
ID=STRG.14587.2.exon1;Parent=STRG.14587.2
ID=STRG.14645.1.exon10;Parent=STRG.14645.1
ID=STRG.14656.1.exon1;Parent=STRG.14656.1
ID=STRG.1467.1.exon8;Parent=STRG.1467.1
ID=STRG.14724.1.exon3;Parent=STRG.14724.1
ID=STRG.14728.1.exon4;Parent=STRG.14728.1
ID=STRG.1474.1.exon14;Parent=STRG.1474.1
ID=STRG.14749.1.exon9;Parent=STRG.14749.1
ID=STRG.14755.1.exon1;Parent=STRG.14755.1
ID=STRG.14766.2.exon16;Parent=STRG.14766.2
ID=STRG.1477.1.exon10;Parent=STRG.1477.1
ID=STRG.14775.1.exon9;Parent=STRG.14775.1
ID=STRG.14785.1.exon9;Parent=STRG.14785.1
ID=STRG.1479.2.exon7;Parent=STRG.1479.2
ID=STRG.14808.1.exon4;Parent=STRG.14808.1
ID=STRG.14825.1.exon2;Parent=STRG.14825.1
ID=STRG.149.1.exon7;Parent=STRG.149.1
ID=STRG.14912.2.exon1;Parent=STRG.14912.2
ID=STRG.14912.2.exon5;Parent=STRG.14912.2
ID=STRG.14926.1.exon1;Parent=STRG.14926.1
ID=STRG.1500.1.exon9;Parent=STRG.1500.1
ID=STRG.15008.1.exon4;Parent=STRG.15008.1
ID=STRG.15042.1.exon8;Parent=STRG.15042.1
ID=STRG.15052.3.exon1;Parent=STRG.15052.3
ID=STRG.15055.1.exon1;Parent=STRG.15055.1
ID=STRG.15068.1.exon5;Parent=STRG.15068.1
ID=STRG.15072.2.exon1;Parent=STRG.15072.2
ID=STRG.15072.2.exon2;Parent=STRG.15072.2
ID=STRG.15072.2.exon3;Parent=STRG.15072.2
ID=STRG.15098.1.exon2;Parent=STRG.15098.1
ID=STRG.15099.1.exon1;Parent=STRG.15099.1
ID=STRG.151.3.exon8;Parent=STRG.151.3
ID=STRG.1515.1.exon2;Parent=STRG.1515.1
ID=STRG.15210.2.exon1;Parent=STRG.15210.2
ID=STRG.15213.1.exon6;Parent=STRG.15213.1
ID=STRG.15217.1.exon1;Parent=STRG.15217.1
ID=STRG.15217.1.exon2;Parent=STRG.15217.1
ID=STRG.15225.1.exon2;Parent=STRG.15225.1
ID=STRG.15259.1.exon1;Parent=STRG.15259.1
ID=STRG.15259.1.exon4;Parent=STRG.15259.1
ID=STRG.15263.1.exon1;Parent=STRG.15263.1
ID=STRG.15268.1.exon1;Parent=STRG.15268.1
ID=STRG.15268.1.exon2;Parent=STRG.15268.1
ID=STRG.15268.1.exon3;Parent=STRG.15268.1
ID=STRG.15268.1.exon4;Parent=STRG.15268.1
ID=STRG.15268.1.exon5;Parent=STRG.15268.1
ID=STRG.1537.1.exon11;Parent=STRG.1537.1
ID=STRG.154.1.exon5;Parent=STRG.154.1
ID=STRG.1549.1.exon3;Parent=STRG.1549.1
ID=STRG.155.1.exon3;Parent=STRG.155.1
ID=STRG.1601.1.exon1;Parent=STRG.1601.1
ID=STRG.1608.1.exon6;Parent=STRG.1608.1
ID=STRG.1619.1.exon4;Parent=STRG.1619.1
ID=STRG.162.1.exon1;Parent=STRG.162.1
ID=STRG.162.1.exon6;Parent=STRG.162.1
ID=STRG.1634.2.exon1;Parent=STRG.1634.2
ID=STRG.164.1.exon6;Parent=STRG.164.1
ID=STRG.1645.1.exon2;Parent=STRG.1645.1
ID=STRG.1658.1.exon1;Parent=STRG.1658.1
ID=STRG.1658.1.exon2;Parent=STRG.1658.1
ID=STRG.168.1.exon2;Parent=STRG.168.1
ID=STRG.1686.1.exon1;Parent=STRG.1686.1
ID=STRG.1707.1.exon1;Parent=STRG.1707.1
ID=STRG.1707.1.exon2;Parent=STRG.1707.1
ID=STRG.1707.1.exon3;Parent=STRG.1707.1
ID=STRG.1707.1.exon4;Parent=STRG.1707.1
ID=STRG.1707.1.exon5;Parent=STRG.1707.1
ID=STRG.1707.1.exon6;Parent=STRG.1707.1
ID=STRG.171.1.exon1;Parent=STRG.171.1
ID=STRG.1724.1.exon9;Parent=STRG.1724.1
ID=STRG.1726.1.exon9;Parent=STRG.1726.1
ID=STRG.1732.1.exon5;Parent=STRG.1732.1
ID=STRG.1756.3.exon2;Parent=STRG.1756.3
ID=STRG.1757.1.exon1;Parent=STRG.1757.1
ID=STRG.1767.1.exon6;Parent=STRG.1767.1
ID=STRG.177.1.exon8;Parent=STRG.177.1
ID=STRG.1781.1.exon1;Parent=STRG.1781.1
ID=STRG.1782.1.exon5;Parent=STRG.1782.1
ID=STRG.1791.1.exon1;Parent=STRG.1791.1
ID=STRG.1795.1.exon3;Parent=STRG.1795.1
ID=STRG.1797.1.exon6;Parent=STRG.1797.1
ID=STRG.1809.1.exon3;Parent=STRG.1809.1
ID=STRG.1814.3.exon1;Parent=STRG.1814.3
ID=STRG.1814.3.exon4;Parent=STRG.1814.3
ID=STRG.1824.1.exon1;Parent=STRG.1824.1
ID=STRG.1874.2.exon5;Parent=STRG.1874.2
ID=STRG.1874.2.exon6;Parent=STRG.1874.2
ID=STRG.1876.1.exon11;Parent=STRG.1876.1
ID=STRG.1877.1.exon9;Parent=STRG.1877.1
ID=STRG.1878.1.exon11;Parent=STRG.1878.1
ID=STRG.188.1.exon2;Parent=STRG.188.1
ID=STRG.1882.1.exon3;Parent=STRG.1882.1
ID=STRG.1910.3.exon2;Parent=STRG.1910.3
ID=STRG.1912.1.exon8;Parent=STRG.1912.1
ID=STRG.193.2.exon1;Parent=STRG.193.2
ID=STRG.193.2.exon10;Parent=STRG.193.2
ID=STRG.196.1.exon6;Parent=STRG.196.1
ID=STRG.1962.2.exon8;Parent=STRG.1962.2
ID=STRG.1993.1.exon6;Parent=STRG.1993.1
ID=STRG.1996.1.exon1;Parent=STRG.1996.1
ID=STRG.2009.1.exon1;Parent=STRG.2009.1
ID=STRG.2016.1.exon10;Parent=STRG.2016.1
ID=STRG.2019.1.exon1;Parent=STRG.2019.1
ID=STRG.2023.1.exon11;Parent=STRG.2023.1
ID=STRG.2023.1.exon13;Parent=STRG.2023.1
ID=STRG.2024.1.exon3;Parent=STRG.2024.1
ID=STRG.2036.1.exon2;Parent=STRG.2036.1
ID=STRG.2038.1.exon7;Parent=STRG.2038.1
ID=STRG.2039.1.exon22;Parent=STRG.2039.1
ID=STRG.2053.1.exon3;Parent=STRG.2053.1
ID=STRG.206.1.exon1;Parent=STRG.206.1
ID=STRG.2068.1.exon5;Parent=STRG.2068.1
ID=STRG.2089.1.exon9;Parent=STRG.2089.1
ID=STRG.2097.1.exon1;Parent=STRG.2097.1
ID=STRG.2104.1.exon2;Parent=STRG.2104.1
ID=STRG.2109.1.exon4;Parent=STRG.2109.1
ID=STRG.2116.2.exon3;Parent=STRG.2116.2
ID=STRG.2117.1.exon9;Parent=STRG.2117.1
ID=STRG.212.1.exon4;Parent=STRG.212.1
ID=STRG.2120.1.exon5;Parent=STRG.2120.1
ID=STRG.2120.1.exon9;Parent=STRG.2120.1
ID=STRG.2123.1.exon7;Parent=STRG.2123.1
ID=STRG.2129.2.exon5;Parent=STRG.2129.2
ID=STRG.2129.2.exon7;Parent=STRG.2129.2
ID=STRG.2130.1.exon1;Parent=STRG.2130.1
ID=STRG.2131.1.exon1;Parent=STRG.2131.1
ID=STRG.2146.1.exon1;Parent=STRG.2146.1
ID=STRG.2148.1.exon1;Parent=STRG.2148.1
ID=STRG.2151.2.exon1;Parent=STRG.2151.2
ID=STRG.2151.2.exon8;Parent=STRG.2151.2
ID=STRG.216.1.exon1;Parent=STRG.216.1
ID=STRG.2170.1.exon1;Parent=STRG.2170.1
ID=STRG.2182.1.exon1;Parent=STRG.2182.1
ID=STRG.2192.1.exon1;Parent=STRG.2192.1
ID=STRG.220.1.exon5;Parent=STRG.220.1
ID=STRG.2208.1.exon1;Parent=STRG.2208.1
ID=STRG.2214.1.exon9;Parent=STRG.2214.1
ID=STRG.2217.1.exon5;Parent=STRG.2217.1
ID=STRG.2221.3.exon2;Parent=STRG.2221.3
ID=STRG.2232.1.exon11;Parent=STRG.2232.1
ID=STRG.224.1.exon15;Parent=STRG.224.1
ID=STRG.2245.1.exon2;Parent=STRG.2245.1
ID=STRG.2250.3.exon1;Parent=STRG.2250.3
ID=STRG.2251.1.exon5;Parent=STRG.2251.1
ID=STRG.2254.1.exon14;Parent=STRG.2254.1
ID=STRG.226.1.exon6;Parent=STRG.226.1
ID=STRG.2276.2.exon1;Parent=STRG.2276.2
ID=STRG.2285.1.exon5;Parent=STRG.2285.1
ID=STRG.2296.2.exon1;Parent=STRG.2296.2
ID=STRG.2299.1.exon6;Parent=STRG.2299.1
ID=STRG.230.1.exon4;Parent=STRG.230.1
ID=STRG.2325.1.exon2;Parent=STRG.2325.1
ID=STRG.2343.1.exon6;Parent=STRG.2343.1
ID=STRG.2362.1.exon1;Parent=STRG.2362.1
ID=STRG.2370.2.exon5;Parent=STRG.2370.2
ID=STRG.2374.1.exon7;Parent=STRG.2374.1
ID=STRG.2376.1.exon2;Parent=STRG.2376.1
ID=STRG.2377.1.exon4;Parent=STRG.2377.1
